difficulty,gradeIndex,route_id,cragSlug,cragName,sector_id,athletic,endurance,crimpy,cruxy,sloper,technical,vertical,slab,overhang,roof,sectorSlug,zlaggableSlug,max_style,style,max_steepness,steepness,zlaggableName,grade_dev,soft_sum,hard_sum,amount_ascents,grade_dev_name,dev,soft_dev,hard_dev
6a,16,991,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,buco-nero,0.5,"athletic, cruxy",0.5,"overhang, vertical",Buco nero,16.0,0.0,0.0,1.0,6a,0.0,0.0,0.0
6b+,19,992,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,el-salvanel,0.5,"athletic, cruxy",0.5,"overhang, vertical",El salvanel,20.0,0.0,1.0,1.0,6b+,1.0,0.0,1.0
6a,16,993,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,sergio,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Sergio,16.0,0.0,0.0,1.0,6a,0.0,0.0,0.0
7a+,24,994,noriglio,Noriglio,994,1,0,0,1,0,1,1,0,0,0,casa-al-sole,two-thousand,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Two Thousand,24.0,0.0,0.0,2.0,7a+,0.0,0.0,0.0
7c,27,995,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,la-terapia-del-merespitz,0.5,"athletic, cruxy",0.5,"overhang, vertical",La terapia del Merespitz,28.0,0.0,2.0,2.0,7c+,1.0,0.0,1.0
6a+,17,996,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,donne-o-fate,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Donne o fate,17.0,0.0,0.0,2.0,6a+,0.0,0.0,0.0
7a+,24,997,noriglio,Noriglio,997,1,0,0,1,0,1,1,0,0,0,pilastro,noriglio-forever,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,noriglio forever,25.0,0.0,1.0,2.0,7b,1.0,0.0,0.5
6c,21,998,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,pensieri-pericolosi,1.0,technical,1.0,vertical,Pensieri pericolosi,21.0,0.0,0.0,2.0,6c,0.0,0.0,0.0
6a+,17,999,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,ohne-namen,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,N.N.,17.0,0.0,0.0,2.0,6a+,0.0,0.0,0.0
6b,18,1000,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,chat-line,1.0,technical,1.0,vertical,Chat line,19.0,0.0,1.0,2.0,6b+,1.0,0.0,0.5
6c+,22,1001,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,blitz-krieg,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Blitzkrieg,23.0,0.0,1.0,2.0,7a,1.0,0.0,0.5
7a,23,1002,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,megabait,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Megabait,23.0,0.0,0.0,2.0,7a,0.0,0.0,0.0
6c+,22,1003,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,su-le-mani,1.0,technical,1.0,vertical,Su le mani,22.0,0.0,0.0,2.0,6c+,0.0,0.0,0.0
6b,18,1004,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,convivenza,1.0,technical,1.0,vertical,Convivenza,18.0,0.0,0.0,2.0,6b,0.0,0.0,0.0
6b+,19,1005,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,tormento-e-estasi,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Tormento e Estasi,19.0,0.0,0.0,2.0,6b+,0.0,0.0,0.0
6a,16,1006,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,easy-furbo,1.0,technical,1.0,vertical,Easy furbo,16.0,0.0,0.0,2.0,6a,0.0,0.0,0.0
