zlaggableName,zlaggableSlug,cragSlug,cragName,countrySlug,countryName,areaSlug,areaName,sectorSlug,sectorName,category,difficulty,gradeIndex,totalAscents,totalRecommendedRate,averageRating,flashOnsightRate,userClimbed,userClimbedInfo,hasVlId,overhang,vertical,slab,roof,athletic,endurance,crimpy,cruxy,technical,sloper,sum,steepness,style
0 in amore,0-in-amore,la-gola,la gola,italy,Italy,arco,arco,unknown-sector-01e2d,unknown sector,0,7a,23,9,0.111111112,4.2857,0.333333343,False,,False,0,1,1,0,0,0,0,0,1,0,3,"vertical,slab",technical
007,007,la-gola,la gola,italy,Italy,arco,arco,guard-rail,guard-rail,0,7c,27,18,0.055555556,4.5833,0.222222224,False,,True,0,2,0,0,0,0,1,0,2,0,5,vertical,"crimpy,technical"
05.11.1985,05-11-1985,croz-de-le-niere,croz de le niere,italy,Italy,arco,arco,unknown-sector,unknown sector,0,7c+,28,1,0.0,,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 1,1-n-n,red-point-wall,red point wall,italy,Italy,arco,arco,arco,unknown sector,0,7a+,24,1,0.0,5.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
100 teste,100-teste,belvedere,belvedere,italy,Italy,arco,arco,settore-a,settore a,0,5a,11,14,0.0,3.0,0.9285714,False,,True,0,0,1,0,0,0,0,0,1,0,2,slab,technical
11,11,raveo,raveo,italy,Italy,,,tiere-nere-ae94a,tiere nere,0,6c+,22,1,0.0,5.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
11,11,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6c,21,1,0.0,3.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
11 dicembre,11-dicembre,muro-dell-asino,muro dell'asino,italy,Italy,arco,arco,settore-a,settore a,0,6a,16,59,0.0,3.0,0.8813559,False,,True,0,1,0,0,0,0,0,0,0,0,1,vertical,
12,12,cala-gonone,cala gonone,italy,Italy,sardinia,sardinia,cala-cartoe,cala cartoe,0,7a,23,1,0.0,3.0,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
12,12,marmitte-dei-giganti,marmitte dei giganti,italy,Italy,arco,arco,unknown-sector,unknown sector,0,5c,14,1,0.0,,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
12,12,promeghin,promeghin,italy,Italy,arco,arco,unknown-sector,unknown sector,0,6a+,17,1,0.0,5.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 12,12-senza-nome,nago,nago,italy,Italy,arco,arco,unknown-sector-3754c,unknown sector,0,5b+,13,3,0.0,5.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
n.n. 12,12-senza-nome,sasso-ballaro,sasso ballaro,italy,Italy,,,settore-vecchio,settore vecchio,0,5c,14,2,0.0,3.0,0.5,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
13,13,erto,erto,italy,Italy,,,unknown-sector-c9b26,unknown sector,0,4a,6,1,0.0,1.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
13,13,marmitte-dei-giganti,marmitte dei giganti,italy,Italy,arco,arco,unknown-sector,unknown sector,0,5c,14,1,0.0,,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
14,14,cala-gonone,cala gonone,italy,Italy,sardinia,sardinia,buchi-arta,buchi arta,0,6a,16,3,0.0,2.0,0.6666667,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
14,14,marmitte-dei-giganti,marmitte dei giganti,italy,Italy,arco,arco,unknown-sector,unknown sector,0,5a,11,1,0.0,,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
14,14,castro,castro,italy,Italy,,,basso,basso,0,5c,14,1,0.0,1.0,0.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
15,15,cala-gonone,cala gonone,italy,Italy,sardinia,sardinia,buchi-arta,buchi arta,0,6b+,19,3,0.0,3.0,1.0,False,,False,0,0,0,0,0,0,0,0,0,0,0,,
