name,lat,long,vllocationid,cragSlug,ascents,routes
massone,45.9287,10.9028,2551.0,massone,14245,262
nago,45.87063,10.89315,2550.0,nago,5940,300
la gola,46.058479999999996,10.96672,2564.0,la-gola,3094,183
belvedere,45.88088,10.88611,2543.0,belvedere,2695,115
padaro,45.932959999999994,10.87031,2539.0,padaro,2488,179
bassilandia,46.05377,10.95904,2563.0,bassilandia,1904,80
val d'algone,46.07969,10.811689999999999,2582.0,val-d-algone,1887,71
foppiano,46.235459999999996,8.289439999999999,,foppiano,0,1
comano,46.03502,10.89316,2587.0,comano,1490,36
calvario,45.92383,10.885869999999999,2534.0,calvario,1343,56
val lomasone,45.97183,10.85939,2586.0,val-lomasone,1119,115
san siro,46.025459999999995,10.97299,2575.0,san-siro,1111,84
terra promessa,45.94045,10.91483,2544.0,terra-promessa,1062,58
regina del lago,45.864309999999996,10.81242,2549.0,regina-del-lago,976,83
sisyphos,46.03496,10.94437,2556.0,sisyphos,919,55
red point wall,45.940940000000005,10.88945,2548.0,red-point-wall,820,76
noriglio,45.88729,11.05981,176.0,noriglio,618,139
l'orto,45.92819,10.88466,2536.0,l-orto,624,26
valgua,45.776554052577936,9.781648445968651,,valgua,587,131
nomesino,45.8675,10.95175,2647.0,nomesino,601,37
cavedine,46.00054,10.961789999999999,2576.0,cavedine,549,29
piccola dallas,45.93135,10.89565,2552.0,piccola-dallas,546,53
castel madruzzo,46.0343,10.98591,5953.0,castel-madruzzo,557,25
muro dell'asino,45.92816,10.88466,2535.0,muro-dell-asino,507,61
camerette,46.01871,10.94087,2553.0,camerette,480,38
coltura,46.05936,10.80879,2583.0,coltura,446,76
le piazzole,45.927440000000004,10.86262,2538.0,le-piazzole,479,28
grottosauro,45.94227,10.915289999999999,2545.0,grottosauro,434,20
ranzo,46.06477,10.92867,2573.0,ranzo,356,100
ottava meraviglia,45.95085,10.90131,2532.0,ottava-meraviglia,394,41
la panoramica,46.03941,10.94566,2559.0,la-panoramica,346,22
promeghin,46.07117,10.906360000000001,2577.0,promeghin,312,117
terlago,46.09848,11.04545,2593.0,terlago,331,41
corte,44.000690000000006,7.772660000000001,,corte,301,83
tassilandia,45.88397,10.91647,5955.0,tassilandia,280,48
la pizzeria,45.96802,10.91427,2546.0,la-pizzeria,269,13
mandrea,45.94559,10.88157,2540.0,mandrea,255,74
passo san giovanni,45.87379,10.90648,2624.0,passo-san-giovanni,246,40
giardino di nato,46.01871,10.94088,2555.0,giardino-di-nato,246,34
serrada,45.88808,11.153889999999999,2599.0,serrada,213,56
san paolo,45.93995,10.89633,2626.0,san-paolo,234,60
fattoria degli struzzi,45.95084,10.90131,2533.0,fattoria-degli-struzzi,220,24
volta di no,45.92682,10.84833,2619.0,volta-di-no,216,30
breguzzo,46.02024,10.70678,2585.0,breguzzo,178,23
calisio,46.098440000000004,11.136560000000001,2590.0,calisio-909cf-verrev,164,26
la finestra,46.070879999999995,10.983310000000001,2570.0,la-finestra,152,15
ghess wall,46.04761,10.951030000000001,2633.0,ghess-wall,146,20
climax,46.070879999999995,10.983310000000001,2568.0,climax,135,27
ceniga,45.94712,10.89707,2629.0,ceniga,162,28
monte terlago,46.11407,11.03922,2655.0,monte-terlago-b7f4c-verrev,134,28
giardino delle occasioni perdute,46.07087,10.9833,2569.0,giardino-delle-occasioni-perdute,119,18
massi di gaggiolo,45.990159999999996,10.92585,2630.0,massi-di-gaggiolo,112,33
finale ampola,45.8615,10.6416,5942.0,finale-ampola,107,29
babilonia,46.04745,10.95122,2560.0,babilonia,101,20
sunny place,46.05453,10.85662,2581.0,sunny-place,100,21
besagno,45.837379999999996,10.96702,2645.0,besagno,97,23
piste dei dinosauri,45.85333,11.034989999999999,2644.0,piste-dei-dinosauri-ef460-verrev,86,27
limarock,46.06004,10.92433,2562.0,limarock,95,19
il bersaglio,46.05957,10.94111,2635.0,il-bersaglio,86,30
sarche,46.03947,10.94565,2558.0,sarche,82,21
margone,46.064890000000005,10.95784,2571.0,margone,73,27
croz de le niere,46.04592,10.75106,2584.0,croz-de-le-niere,73,40
pizarra,45.950540000000004,10.90132,5951.0,pizarra,73,17
bus de la stria,45.92399,10.87134,2537.0,bus-de-la-stria,67,19
forti di civezzano,46.08348,11.17501,2589.0,forti-di-civezzano-4c77d-verrev,56,31
cartoon network,46.09062,11.16383,2665.0,cartoon-network-bc689-verrev,53,23
spiaggia delle lucertole,45.84803,10.86357,2542.0,spiaggia-delle-lucertole,53,22
la cosina,46.00103,10.96888,2631.0,la-cosina,35,21
massi delle traole,45.86504,10.89545,2623.0,massi-delle-traole,56,23
santa massenza,46.06564,10.980310000000001,2567.0,santa-massenza,51,24
futur ampola,45.85864,10.637739999999999,5941.0,futur-ampola,33,9
corno di bo,45.84803,10.86357,2621.0,corno-di-bo,33,10
tione,46.03232,10.722610000000001,2641.0,tione,31,13
herr wall – la calchera,46.0675,10.94688,2637.0,herr-wall-–-la-calchera,29,15
arcadioland,46.05852,10.96687,2565.0,arcadioland,27,13
swing area,45.94229,10.89962,2530.0,swing-area,27,9
eremo di san paolo,45.94232,10.89966,2531.0,eremo-di-san-paolo,27,9
col del frate,46.045159999999996,10.74732,2640.0,col-del-frate-e5649-verrev,25,12
marmitte dei giganti,45.87996,10.88492,5950.0,marmitte-dei-giganti,21,13
athos,46.034909999999996,10.94438,2557.0,athos,21,13
spormaggiore,46.209070000000004,11.04225,2591.0,spormaggiore,21,10
pezzent area,46.05851,10.96685,2566.0,pezzent-area,22,10
coel dela val dela porta,46.064890000000005,10.95784,2572.0,coel-dela-val-dela-porta,20,8
torbolino,45.8447,10.86373,2620.0,torbolino,17,7
torbole,45.85642,10.87038,2622.0,torbole,20,10
spina,46.07115,11.18572,2670.0,spina-bf9aa-verrev,18,9
la campana,45.87836,11.04503,2643.0,la-campana-faaf1-verrev,16,10
lagolo,46.03322,11.001610000000001,2574.0,lagolo-a9a5c-verrev,12,7
al pra,46.20133,11.252410000000001,2594.0,al-pra,17,12
san martino,45.92653,10.89823,2628.0,san-martino-b14c3-verrev,12,8
schizzolandia,46.08455,11.098460000000001,2659.0,schizzolandia-e1c68-verrev,11,7
lon,46.08482,10.98518,2639.0,lon,9,7
castello di drena,45.970909999999996,10.9414,2547.0,castello-di-drena,15,6
cola grant,45.93588,11.11345,2642.0,cola-grant-663e8-verrev,7,7
il cadaverificio,46.07301,11.16206,2667.0,il-cadaverificio-9581e-verrev,7,5
sanderland,45.93561,10.81216,2541.0,sanderland,7,4
l'orrido,45.92175,11.12924,2600.0,l-orrido,6,5
lago nembia,46.09953,10.935189999999999,2580.0,lago-nembia,5,5
eremo di san colombano,45.878209999999996,11.062660000000001,2595.0,eremo-di-san-colombano-43efc-verrev,5,5
sport roccia 86,45.927,10.89221,2625.0,sport-roccia-86-10742-verrev,5,3
teatro delle marionette,46.08482,10.98521,2638.0,teatro-delle-marionette,4,3
maso limarò,46.05988,10.92441,5954.0,maso-limaro,7,4
drago nascosto,46.09848,11.136560000000001,2663.0,drago-nascosto,4,3
acheni,45.83971,11.07648,2596.0,acheni-1c78f-verrev,4,2
muro di chitarra,46.0187,10.94093,2632.0,muro-di-chitarra,3,3
muro dei 70 scalini,46.07751,11.16874,2666.0,muro-dei-70-scalini-366a5-verrev,3,2
nembia,46.0932,10.92762,2579.0,nembia,2,2
vigol,46.0808,11.04379,2649.0,vigol,2,1
zengio del far noter,45.87891,11.11166,2598.0,zengio-del-far-noter-85bcf-verrev,2,2
il vaticano,46.05957,10.94111,2634.0,il-vaticano,1,1
baselga,46.07647,11.04135,2648.0,baselga,1,1
zambana,46.13811,11.07474,2660.0,zambana-7a2f8-verrev,1,1
